色	いろ	iro	Color
白	しろ	shiro	White
黒	くろ	kuro	Black
赤	あか	aka	Red
青	あお	ao	Blue
緑	みどり	midori	Green
紫	むらさき	murasaki	Purple / Violet
黄色	きいろ	ki iro	Yellow
茶色	ちゃいろ	cha iro	Brown
金色	きんいろ	kin iro	Gold
銀色	ぎんいろ	gin iro	Silver
桃色	ももいろ	momo iro	Pink
	ピンク	pinku	Pink
灰色	はいいろ	hai iro	Gray
	グレー	gure-	Gray
橙色	だいだいいろ	daidai iro	Orange
	オレンジ	orenji	Orange
水色	みずいろ	mizu iro	Light Blue
紺色	こんいろ	kon iro	Dark Blue
藍色	あいいろ	ai iro	Indigo Blue
藤色	ふじいろ	fuji iro	Light Purple
焦げ茶色	こげちゃいろ	kogecha iro	Dark Brown
山吹色	やまぶきいろ	yamabuki iro	Bright Golden Yellow
黄土色	おうどいろ	oudo iro	Yellow Ocher
黄緑	きみどり	ki midori	Yellow Green
深緑	ふかみどり	fuka midori	Dark Green
	ダークグリーン	da-ku guri-n	Dark Green
	ベージュ	be-ju	Beige
朱色	しゅいろ	shu iro	Vermilion / Scarlet
茜色	あかねいろ	akane iro	Madder Red
銅色	あかがねいろ	akagane iro	Copper
青銅色	せいどういろ	seidou iro	Bronze
	ライラック	rairakku	Lilac
	ターコイズ	ta-koizu	Turquoise