食べ物	たべもの	tabe mono	Food
日本料理	にほんりょうり	nihon ryouri	Japanese Cooking / Japanese Dish / Japanese Food
朝食	ちょうしょく	chou shoku	Breakfast
朝御飯	あさごはん	asa gohan	Breakfast
昼食	ちゅうしょく	chuu shoku	Lunch
昼御飯	ひるごはん	hiru gohan	Lunch
夕食	ゆうしょく	yuu shoku	Dinner
晩御飯	ばんごはん	ban gohan	Dinner
夜食	やしょく	ya shoku	Supper
	おかず	okazu	Side Dish
お八つ	おやつ	oyatsu	Snack / Refreshment
弁当	べんとう	bentou	Box Lunch
駅弁	えきべん	ekiben	Train Station Box Lunch
御飯	ごはん	gohan	Meal / Cooked Rice
刺身	さしみ	sashimi	Sliced Raw Fish
寿司 / 鮨 / 鮓	すし	sushi	Sushi
天婦羅	てんぷら	tenpura	Tempura / Deep-fried Fish and Vegetables
牛丼	ぎゅうどん	gyuu don	Rice topped with Beef and Vegetables
親子丼	おやこどん	oyako don	Rice topped with Boiled Chicken and Eggs
天丼	てんどん	ten don	Rice topped with Deep-fried Prawns & Fishes
鰻丼	うなぎどん	unagi don	Rice topped with Glaze-grilled Eel
鰻	うなぎ	unagi	Eel
豚カツ	とんカツ	tonkatsu	Pork Cutlet
	カレーライス	kare- raisu	Curry and Rice
鋤焼き	すきやき	suki yaki	Thin Slices of Beef cooked with various Vegetables in a Heavy Iron Pan
お好み焼き	おこのみやき	okonomi yaki	Thin and Flat Pancake cooked on a Hot Plate with bits of Meat, Seafood and Chopped Cabbages
鉄板焼き	てっぱんやき	teppan yaki	Grilled Meat cooked on Iron Plate
焼き鳥	やきとり	yaki tori	Grilled Chicken / Broiled Chicken
蛸焼き	たこやき	tako yaki	Octopus Dumpling
焼きそば	やきそば	yaki soba	Pan Fried Noodle
餃子	ギョウザ	gyouza	Dumpling stuffed with Minced Pork and Vegetables
茶碗蒸し	ちゃわんむし	chawan mushi	Steamed Egg Custard in Tea Cup
	しゃぶしゃぶ	shabu shabu	Japanese Style Hotpot
味噌	みそ	miso	Miso / Bean Paste
味噌汁	みそしる	miso shiru	Miso Soup
	ラーメン	ra-men	Ramen
	うどん	udon	Noodle made of Wheat Flour
蕎麦	そば	soba	Buckwheat Noodle
餅	もち	mochi	Sticky Rice Cake
餡パン	あんパン	anpan	Japanese Bun filled with Red Bean Paste
牛肉	ぎゅうにく	gyuuniku	Beef
豚肉	ぶたにく	butaniku	Pork
鶏肉	とりにく	toriniku	Chicken Meat
羊肉	ようにく	youniku	Mutton / Lamb
魚	さかな	sakana	Fish
海老 / 蝦	えび	ebi	Prawn / Shrimp
蟹	かに	kani	Crab
豆腐	とうふ	toufu	Tofu / Bean Curd
卵	たまご	tamago	Egg
食パン	しょくパン	shoku pan	Plain Bread / White Bread
玉葱	たまねぎ	tamanegi	Onion
胡瓜	きゅうり	kyuuri	Cucumber
醤油	しょうゆ	shouyu	Soy Sauce
酢	す	su	Vinegar
山葵	わさび	wasabi	Japanese Horseradish
油	あぶら	abura	Oil
砂糖	さとう	satou	Sugar
塩	しお	shio	Salt
胡椒	こしょう	koshou	Pepper
調味料	ちょうみ		
	りょう	choumi ryou	Seasoning / Condiment / Flavoring / Spices