果物	くだもの	kuda mono	Fruit
	フルーツ	furu-tsu	Fruit
林檎	りんご / リンゴ	ringo	Apple
	オレンジ	orenji	Orange
	バナナ	banana	Banana
西瓜	すいか / スイカ	suika	Watermelon
苺	いちご / イチゴ	ichigo	Strawberry
檸檬	レモン	remon	Lemon
桃	もも / モモ	momo	Peach
梨	なし	nashi	Pear
	マンゴー	mango-	Mango
	ドリアン	dorian	Durian
	パイナップル	painappuru	Pineapple
蜜柑	みかん	mikan	Mandarin Orange
葡萄	ぶどう	budou	Grape
干し葡萄	ほしぶどう	hoshi budou	Raisin
梅	うめ	ume	Plum
杏	あんず	anzu	Apricot
	アプリコット	apurikotto	Apricot
	サクランボ	sakuranbo	Cherry
	チェリー	cheri-	Cherry
柿	カキ	kaki	Persimmon
無花果	イチジク	ichijiku	Fig
栗	クリ	kuri	Chestnut
柚 / 柚子	ゆず	yuzu	Citron
石榴	ざくろ	zakuro	Pomegranate
	メロン	meron	Melon
	グアバ	guaba	Guava
	キウイ	kiui	Kiwi
	パパイヤ	papaiya	Papaya
	ココナッツ	kokonattsu	Coconut
	グレープフルーツ	gure-pu furu-tsu	Grapefruit
	ジャックフルーツ	jakku furu-tsu	Jackfruit
	ブルーベリー	buru- beri-	Blueberry
	ブラックベリー	burakku beri-	Blackberry
木苺	きいちご	kiichigo	Raspberry
	ラズベリー	razu beri-	Raspberry
	アボカド	abokado	Avocado
	ライム	raimu	Lime